State,Bank,Area_type,#Branches
PUNJAB,PUNJAB NATIONAL BANK,Metropolitan,147
PUNJAB,PUNJAB NATIONAL BANK,Rural,443
PUNJAB,PUNJAB NATIONAL BANK,Semi-urban,307
PUNJAB,PUNJAB NATIONAL BANK,Urban,235
PUNJAB,UCO BANK,Metropolitan,19
PUNJAB,UCO BANK,Rural,62
PUNJAB,UCO BANK,Semi-urban,63
PUNJAB,UCO BANK,Urban,28
PUNJAB,UNION BANK OF INDIA,Metropolitan,46
PUNJAB,UNION BANK OF INDIA,Rural,65
PUNJAB,UNION BANK OF INDIA,Semi-urban,119
PUNJAB,UNION BANK OF INDIA,Urban,68
RAJASTHAN,BANK OF BARODA,Metropolitan,87
RAJASTHAN,BANK OF BARODA,Rural,299
RAJASTHAN,BANK OF BARODA,Semi-urban,177
RAJASTHAN,BANK OF BARODA,Urban,108
RAJASTHAN,BANK OF INDIA,Metropolitan,33
RAJASTHAN,BANK OF INDIA,Rural,42
RAJASTHAN,BANK OF INDIA,Semi-urban,44
RAJASTHAN,BANK OF INDIA,Urban,34
RAJASTHAN,BANK OF MAHARASHTRA,Metropolitan,12
RAJASTHAN,BANK OF MAHARASHTRA,Rural,6
RAJASTHAN,BANK OF MAHARASHTRA,Semi-urban,5
RAJASTHAN,BANK OF MAHARASHTRA,Urban,14
RAJASTHAN,CANARA BANK,Metropolitan,61
RAJASTHAN,CANARA BANK,Rural,46
RAJASTHAN,CANARA BANK,Semi-urban,88
RAJASTHAN,CANARA BANK,Urban,81
RAJASTHAN,CENTRAL BANK OF INDIA,Metropolitan,45
RAJASTHAN,CENTRAL BANK OF INDIA,Rural,41
RAJASTHAN,CENTRAL BANK OF INDIA,Semi-urban,59
RAJASTHAN,CENTRAL BANK OF INDIA,Urban,32
RAJASTHAN,INDIAN BANK,Metropolitan,34
RAJASTHAN,INDIAN BANK,Rural,29
RAJASTHAN,INDIAN BANK,Semi-urban,24
RAJASTHAN,INDIAN BANK,Urban,52
RAJASTHAN,INDIAN OVERSEAS BANK,Metropolitan,17
RAJASTHAN,INDIAN OVERSEAS BANK,Rural,10
RAJASTHAN,INDIAN OVERSEAS BANK,Semi-urban,18
RAJASTHAN,INDIAN OVERSEAS BANK,Urban,21
RAJASTHAN,JAMMU & KASHMIR BANK LTD,Metropolitan,1
RAJASTHAN,JAMMU & KASHMIR BANK LTD,Urban,1
RAJASTHAN,PUNJAB AND SIND BANK,Metropolitan,9
RAJASTHAN,PUNJAB AND SIND BANK,Rural,15
RAJASTHAN,PUNJAB AND SIND BANK,Semi-urban,13
RAJASTHAN,PUNJAB AND SIND BANK,Urban,16
RAJASTHAN,PUNJAB NATIONAL BANK,Metropolitan,141
RAJASTHAN,PUNJAB NATIONAL BANK,Rural,278
RAJASTHAN,PUNJAB NATIONAL BANK,Semi-urban,230
RAJASTHAN,PUNJAB NATIONAL BANK,Urban,176
RAJASTHAN,UCO BANK,Metropolitan,41
RAJASTHAN,UCO BANK,Rural,67
RAJASTHAN,UCO BANK,Semi-urban,76
RAJASTHAN,UCO BANK,Urban,43
RAJASTHAN,UNION BANK OF INDIA,Metropolitan,68
RAJASTHAN,UNION BANK OF INDIA,Rural,69
RAJASTHAN,UNION BANK OF INDIA,Semi-urban,79
RAJASTHAN,UNION BANK OF INDIA,Urban,84
SIKKIM,BANK OF BARODA,Rural,1
SIKKIM,BANK OF BARODA,Semi-urban,1
SIKKIM,BANK OF BARODA,Urban,3
SIKKIM,BANK OF INDIA,Urban,2
SIKKIM,BANK OF MAHARASHTRA,Urban,1
SIKKIM,CANARA BANK,Rural,5
SIKKIM,CANARA BANK,Semi-urban,2
SIKKIM,CANARA BANK,Urban,4
SIKKIM,CENTRAL BANK OF INDIA,Rural,12
SIKKIM,CENTRAL BANK OF INDIA,Semi-urban,2
SIKKIM,CENTRAL BANK OF INDIA,Urban,2
SIKKIM,INDIAN BANK,Urban,3
SIKKIM,INDIAN OVERSEAS BANK,Rural,2
SIKKIM,INDIAN OVERSEAS BANK,Urban,1
SIKKIM,PUNJAB AND SIND BANK,Urban,1
SIKKIM,PUNJAB NATIONAL BANK,Rural,2
SIKKIM,PUNJAB NATIONAL BANK,Semi-urban,3
SIKKIM,PUNJAB NATIONAL BANK,Urban,5
SIKKIM,UCO BANK,Rural,4
SIKKIM,UCO BANK,Semi-urban,1
SIKKIM,UCO BANK,Urban,1
SIKKIM,UNION BANK OF INDIA,Rural,6
SIKKIM,UNION BANK OF INDIA,Semi-urban,1
SIKKIM,UNION BANK OF INDIA,Urban,3
TAMIL NADU,BANK OF BARODA,Metropolitan,113
TAMIL NADU,BANK OF BARODA,Rural,51
TAMIL NADU,BANK OF BARODA,Semi-urban,109
TAMIL NADU,BANK OF BARODA,Urban,57
TAMIL NADU,BANK OF INDIA,Metropolitan,65
TAMIL NADU,BANK OF INDIA,Rural,60
TAMIL NADU,BANK OF INDIA,Semi-urban,76
TAMIL NADU,BANK OF INDIA,Urban,33
TAMIL NADU,BANK OF MAHARASHTRA,Metropolitan,16
TAMIL NADU,BANK OF MAHARASHTRA,Rural,2
TAMIL NADU,BANK OF MAHARASHTRA,Semi-urban,8
TAMIL NADU,BANK OF MAHARASHTRA,Urban,15
TAMIL NADU,CANARA BANK,Metropolitan,239
TAMIL NADU,CANARA BANK,Rural,379
TAMIL NADU,CANARA BANK,Semi-urban,393
TAMIL NADU,CANARA BANK,Urban,181
TAMIL NADU,CENTRAL BANK OF INDIA,Metropolitan,64
TAMIL NADU,CENTRAL BANK OF INDIA,Rural,62
TAMIL NADU,CENTRAL BANK OF INDIA,Semi-urban,58
TAMIL NADU,CENTRAL BANK OF INDIA,Urban,37
TAMIL NADU,INDIAN BANK,Metropolitan,216
TAMIL NADU,INDIAN BANK,Rural,387
TAMIL NADU,INDIAN BANK,Semi-urban,374
TAMIL NADU,INDIAN BANK,Urban,146
TAMIL NADU,INDIAN OVERSEAS BANK,Metropolitan,177
TAMIL NADU,INDIAN OVERSEAS BANK,Rural,436
TAMIL NADU,INDIAN OVERSEAS BANK,Semi-urban,388
TAMIL NADU,INDIAN OVERSEAS BANK,Urban,121
TAMIL NADU,JAMMU & KASHMIR BANK LTD,Metropolitan,5
TAMIL NADU,PUNJAB AND SIND BANK,Metropolitan,10
TAMIL NADU,PUNJAB AND SIND BANK,Rural,1
TAMIL NADU,PUNJAB AND SIND BANK,Urban,6
TAMIL NADU,PUNJAB NATIONAL BANK,Metropolitan,132
TAMIL NADU,PUNJAB NATIONAL BANK,Rural,30
TAMIL NADU,PUNJAB NATIONAL BANK,Semi-urban,81
TAMIL NADU,PUNJAB NATIONAL BANK,Urban,74
TAMIL NADU,UCO BANK,Metropolitan,39
TAMIL NADU,UCO BANK,Rural,19
TAMIL NADU,UCO BANK,Semi-urban,31
TAMIL NADU,UCO BANK,Urban,23
TAMIL NADU,UNION BANK OF INDIA,Metropolitan,186
TAMIL NADU,UNION BANK OF INDIA,Rural,137
TAMIL NADU,UNION BANK OF INDIA,Semi-urban,218
TAMIL NADU,UNION BANK OF INDIA,Urban,110
TELANGANA,BANK OF BARODA,Metropolitan,89
TELANGANA,BANK OF BARODA,Rural,32
TELANGANA,BANK OF BARODA,Semi-urban,29
TELANGANA,BANK OF BARODA,Urban,21
TELANGANA,BANK OF INDIA,Metropolitan,42
TELANGANA,BANK OF INDIA,Rural,5
TELANGANA,BANK OF INDIA,Semi-urban,12
TELANGANA,BANK OF INDIA,Urban,12
TELANGANA,BANK OF MAHARASHTRA,Metropolitan,20
TELANGANA,BANK OF MAHARASHTRA,Rural,6
TELANGANA,BANK OF MAHARASHTRA,Semi-urban,4
TELANGANA,BANK OF MAHARASHTRA,Urban,9
TELANGANA,CANARA BANK,Metropolitan,177
TELANGANA,CANARA BANK,Rural,101
TELANGANA,CANARA BANK,Semi-urban,75
TELANGANA,CANARA BANK,Urban,43
TELANGANA,CENTRAL BANK OF INDIA,Metropolitan,49
TELANGANA,CENTRAL BANK OF INDIA,Rural,19
TELANGANA,CENTRAL BANK OF INDIA,Semi-urban,20
TELANGANA,CENTRAL BANK OF INDIA,Urban,13
TELANGANA,INDIAN BANK,Metropolitan,69
TELANGANA,INDIAN BANK,Rural,31
TELANGANA,INDIAN BANK,Semi-urban,31
TELANGANA,INDIAN BANK,Urban,32
TELANGANA,INDIAN OVERSEAS BANK,Metropolitan,51
TELANGANA,INDIAN OVERSEAS BANK,Rural,26
TELANGANA,INDIAN OVERSEAS BANK,Semi-urban,23
TELANGANA,INDIAN OVERSEAS BANK,Urban,19
TELANGANA,JAMMU & KASHMIR BANK LTD,Metropolitan,2
TELANGANA,PUNJAB AND SIND BANK,Metropolitan,6
TELANGANA,PUNJAB AND SIND BANK,Rural,1
TELANGANA,PUNJAB AND SIND BANK,Urban,2
TELANGANA,PUNJAB NATIONAL BANK,Metropolitan,100
TELANGANA,PUNJAB NATIONAL BANK,Rural,11
TELANGANA,PUNJAB NATIONAL BANK,Semi-urban,21
TELANGANA,PUNJAB NATIONAL BANK,Urban,25
TELANGANA,UCO BANK,Metropolitan,22
TELANGANA,UCO BANK,Rural,3
TELANGANA,UCO BANK,Semi-urban,4
TELANGANA,UCO BANK,Urban,9
TELANGANA,UNION BANK OF INDIA,Metropolitan,267
TELANGANA,UNION BANK OF INDIA,Rural,203
TELANGANA,UNION BANK OF INDIA,Semi-urban,189
TELANGANA,UNION BANK OF INDIA,Urban,97
TRIPURA,BANK OF BARODA,Rural,1
TRIPURA,BANK OF BARODA,Semi-urban,1
TRIPURA,BANK OF BARODA,Urban,5
TRIPURA,BANK OF INDIA,Rural,3
TRIPURA,BANK OF INDIA,Semi-urban,6
TRIPURA,BANK OF INDIA,Urban,4
TRIPURA,BANK OF MAHARASHTRA,Urban,1
TRIPURA,CANARA BANK,Rural,5
TRIPURA,CANARA BANK,Semi-urban,8
TRIPURA,CANARA BANK,Urban,5
TRIPURA,CENTRAL BANK OF INDIA,Rural,2
TRIPURA,CENTRAL BANK OF INDIA,Semi-urban,3
TRIPURA,CENTRAL BANK OF INDIA,Urban,1
TRIPURA,INDIAN BANK,Rural,2
TRIPURA,INDIAN BANK,Semi-urban,1
TRIPURA,INDIAN BANK,Urban,3
TRIPURA,INDIAN OVERSEAS BANK,Rural,1
TRIPURA,INDIAN OVERSEAS BANK,Semi-urban,2
TRIPURA,INDIAN OVERSEAS BANK,Urban,2
TRIPURA,PUNJAB AND SIND BANK,Rural,1
TRIPURA,PUNJAB AND SIND BANK,Urban,1
TRIPURA,PUNJAB NATIONAL BANK,Rural,32
TRIPURA,PUNJAB NATIONAL BANK,Semi-urban,23
TRIPURA,PUNJAB NATIONAL BANK,Urban,20
TRIPURA,UCO BANK,Rural,11
TRIPURA,UCO BANK,Semi-urban,12
TRIPURA,UCO BANK,Urban,7
TRIPURA,UNION BANK OF INDIA,Rural,1
TRIPURA,UNION BANK OF INDIA,Semi-urban,4
TRIPURA,UNION BANK OF INDIA,Urban,5
UTTAR PRADESH,BANK OF BARODA,Metropolitan,241
UTTAR PRADESH,BANK OF BARODA,Rural,574
UTTAR PRADESH,BANK OF BARODA,Semi-urban,295
UTTAR PRADESH,BANK OF BARODA,Urban,221
UTTAR PRADESH,BANK OF INDIA,Metropolitan,116
UTTAR PRADESH,BANK OF INDIA,Rural,189
UTTAR PRADESH,BANK OF INDIA,Semi-urban,146
UTTAR PRADESH,BANK OF INDIA,Urban,86
UTTAR PRADESH,BANK OF MAHARASHTRA,Metropolitan,24
UTTAR PRADESH,BANK OF MAHARASHTRA,Rural,11
UTTAR PRADESH,BANK OF MAHARASHTRA,Semi-urban,21
UTTAR PRADESH,BANK OF MAHARASHTRA,Urban,35
UTTAR PRADESH,CANARA BANK,Metropolitan,266
UTTAR PRADESH,CANARA BANK,Rural,412
UTTAR PRADESH,CANARA BANK,Semi-urban,295
UTTAR PRADESH,CANARA BANK,Urban,248
UTTAR PRADESH,CENTRAL BANK OF INDIA,Metropolitan,124
UTTAR PRADESH,CENTRAL BANK OF INDIA,Rural,208
UTTAR PRADESH,CENTRAL BANK OF INDIA,Semi-urban,157
UTTAR PRADESH,CENTRAL BANK OF INDIA,Urban,111
UTTAR PRADESH,INDIAN BANK,Metropolitan,176
UTTAR PRADESH,INDIAN BANK,Rural,493
UTTAR PRADESH,INDIAN BANK,Semi-urban,254
UTTAR PRADESH,INDIAN BANK,Urban,209
UTTAR PRADESH,INDIAN OVERSEAS BANK,Metropolitan,54
UTTAR PRADESH,INDIAN OVERSEAS BANK,Rural,56
UTTAR PRADESH,INDIAN OVERSEAS BANK,Semi-urban,46
UTTAR PRADESH,INDIAN OVERSEAS BANK,Urban,62
UTTAR PRADESH,JAMMU & KASHMIR BANK LTD,Metropolitan,10
UTTAR PRADESH,JAMMU & KASHMIR BANK LTD,Semi-urban,1
UTTAR PRADESH,JAMMU & KASHMIR BANK LTD,Urban,5
UTTAR PRADESH,PUNJAB AND SIND BANK,Metropolitan,50
UTTAR PRADESH,PUNJAB AND SIND BANK,Rural,86
UTTAR PRADESH,PUNJAB AND SIND BANK,Semi-urban,38
UTTAR PRADESH,PUNJAB AND SIND BANK,Urban,58
UTTAR PRADESH,PUNJAB NATIONAL BANK,Metropolitan,391
UTTAR PRADESH,PUNJAB NATIONAL BANK,Rural,631
UTTAR PRADESH,PUNJAB NATIONAL BANK,Semi-urban,475
UTTAR PRADESH,PUNJAB NATIONAL BANK,Urban,450
UTTAR PRADESH,UCO BANK,Metropolitan,76
UTTAR PRADESH,UCO BANK,Rural,89
UTTAR PRADESH,UCO BANK,Semi-urban,65
UTTAR PRADESH,UCO BANK,Urban,58
UTTAR PRADESH,UNION BANK OF INDIA,Metropolitan,251
UTTAR PRADESH,UNION BANK OF INDIA,Rural,543
UTTAR PRADESH,UNION BANK OF INDIA,Semi-urban,249
UTTAR PRADESH,UNION BANK OF INDIA,Urban,228
UTTARAKHAND,BANK OF BARODA,Rural,52
UTTARAKHAND,BANK OF BARODA,Semi-urban,30
UTTARAKHAND,BANK OF BARODA,Urban,54
UTTARAKHAND,BANK OF INDIA,Rural,9
UTTARAKHAND,BANK OF INDIA,Semi-urban,15
UTTARAKHAND,BANK OF INDIA,Urban,12
UTTARAKHAND,BANK OF MAHARASHTRA,Semi-urban,1
UTTARAKHAND,BANK OF MAHARASHTRA,Urban,5
UTTARAKHAND,CANARA BANK,Rural,44
UTTARAKHAND,CANARA BANK,Semi-urban,35
UTTARAKHAND,CANARA BANK,Urban,57
UTTARAKHAND,CENTRAL BANK OF INDIA,Rural,8
UTTARAKHAND,CENTRAL BANK OF INDIA,Semi-urban,13
UTTARAKHAND,CENTRAL BANK OF INDIA,Urban,22
UTTARAKHAND,INDIAN BANK,Rural,10
UTTARAKHAND,INDIAN BANK,Semi-urban,21
UTTARAKHAND,INDIAN BANK,Urban,24
UTTARAKHAND,INDIAN OVERSEAS BANK,Rural,18
UTTARAKHAND,INDIAN OVERSEAS BANK,Semi-urban,10
UTTARAKHAND,INDIAN OVERSEAS BANK,Urban,18
UTTARAKHAND,JAMMU & KASHMIR BANK LTD,Urban,3
UTTARAKHAND,PUNJAB AND SIND BANK,Rural,16
UTTARAKHAND,PUNJAB AND SIND BANK,Semi-urban,13
UTTARAKHAND,PUNJAB AND SIND BANK,Urban,17
UTTARAKHAND,PUNJAB NATIONAL BANK,Rural,150
UTTARAKHAND,PUNJAB NATIONAL BANK,Semi-urban,74
UTTARAKHAND,PUNJAB NATIONAL BANK,Urban,127
UTTARAKHAND,UCO BANK,Rural,17
UTTARAKHAND,UCO BANK,Semi-urban,21
UTTARAKHAND,UCO BANK,Urban,20
UTTARAKHAND,UNION BANK OF INDIA,Rural,36
UTTARAKHAND,UNION BANK OF INDIA,Semi-urban,35
UTTARAKHAND,UNION BANK OF INDIA,Urban,49
WEST BENGAL,BANK OF BARODA,Metropolitan,110
WEST BENGAL,BANK OF BARODA,Rural,50
WEST BENGAL,BANK OF BARODA,Semi-urban,58
WEST BENGAL,BANK OF BARODA,Urban,89
WEST BENGAL,BANK OF INDIA,Metropolitan,68
WEST BENGAL,BANK OF INDIA,Rural,145
WEST BENGAL,BANK OF INDIA,Semi-urban,84
WEST BENGAL,BANK OF INDIA,Urban,85
WEST BENGAL,BANK OF MAHARASHTRA,Metropolitan,18
WEST BENGAL,BANK OF MAHARASHTRA,Rural,4
WEST BENGAL,BANK OF MAHARASHTRA,Semi-urban,6
WEST BENGAL,BANK OF MAHARASHTRA,Urban,17
WEST BENGAL,CANARA BANK,Metropolitan,98
WEST BENGAL,CANARA BANK,Rural,156
WEST BENGAL,CANARA BANK,Semi-urban,81
WEST BENGAL,CANARA BANK,Urban,92
WEST BENGAL,CENTRAL BANK OF INDIA,Metropolitan,57
WEST BENGAL,CENTRAL BANK OF INDIA,Rural,135
WEST BENGAL,CENTRAL BANK OF INDIA,Semi-urban,67
WEST BENGAL,CENTRAL BANK OF INDIA,Urban,74
WEST BENGAL,INDIAN BANK,Metropolitan,118
WEST BENGAL,INDIAN BANK,Rural,269
WEST BENGAL,INDIAN BANK,Semi-urban,93
WEST BENGAL,INDIAN BANK,Urban,138
WEST BENGAL,INDIAN OVERSEAS BANK,Metropolitan,56
WEST BENGAL,INDIAN OVERSEAS BANK,Rural,32
WEST BENGAL,INDIAN OVERSEAS BANK,Semi-urban,20
WEST BENGAL,INDIAN OVERSEAS BANK,Urban,49
WEST BENGAL,JAMMU & KASHMIR BANK LTD,Metropolitan,2
WEST BENGAL,PUNJAB AND SIND BANK,Metropolitan,18
WEST BENGAL,PUNJAB AND SIND BANK,Rural,4
WEST BENGAL,PUNJAB AND SIND BANK,Semi-urban,4
WEST BENGAL,PUNJAB AND SIND BANK,Urban,16
WEST BENGAL,PUNJAB NATIONAL BANK,Metropolitan,245
WEST BENGAL,PUNJAB NATIONAL BANK,Rural,578
WEST BENGAL,PUNJAB NATIONAL BANK,Semi-urban,199
WEST BENGAL,PUNJAB NATIONAL BANK,Urban,297
WEST BENGAL,UCO BANK,Metropolitan,89
WEST BENGAL,UCO BANK,Rural,147
WEST BENGAL,UCO BANK,Semi-urban,69
WEST BENGAL,UCO BANK,Urban,83
WEST BENGAL,UNION BANK OF INDIA,Metropolitan,90
WEST BENGAL,UNION BANK OF INDIA,Rural,67
WEST BENGAL,UNION BANK OF INDIA,Semi-urban,59
WEST BENGAL,UNION BANK OF INDIA,Urban,97
