pincode,place_name,state_name,latitude,longitude
123412,Dharan,Haryana,28.1833,76.6167
123413,Akheri Madanpur,Haryana,28.1833,76.6167
123414,Nanu Kalan,Haryana,28.1833,76.6167
123501,Bawal,Haryana,28.0833,76.5833
123502,Khalilpur,Haryana,28.2833,76.7667
123503,Pataudi,Haryana,28.3167,76.7833
123504,Haily Mandi,Haryana,28.2833,76.7667
123505,Garhi Harsaru,Haryana,28.45,76.9333
123506,Farrukh Nagar,Haryana,28.2833,76.7667
123508,Jatauli,Haryana,28.2833,76.7667
124001,Rohtak,Haryana,28.9,76.5667
124003,Vaish High Schl Rohtak,Haryana,28.9,76.5667
124004,G K Singhpur,Haryana,28.9,76.5667
124005,Titauli,Haryana,28.9,76.5667
124006,Makrauli Kalan,Haryana,28.9,76.5667
124007,Samargopalpur,Haryana,28.9,76.5667
124021,Asthal Bohar,Haryana,28.8667,76.45
124022,Morkhra,Haryana,28.8667,76.45
124024,Lahli,Haryana,28.8667,76.45
124025,Kharawal,Haryana,28.8667,76.45
124028,Basana,Haryana,28.8667,76.45
124029,Baland,Haryana,28.8667,76.45
124030,Gharauthi,Haryana,28.8833,76.5083
124031,Maina,Haryana,28.8833,76.5083
124101,Barhana,Haryana,28.62,76.67
124102,Dujana,Haryana,28.6833,76.6167
124103,Jhajar H O,Haryana,28.62,76.67
124104,Jhajjar,Haryana,28.6167,76.65
124105,Badli,Haryana,28.5833,76.8167
124107,Dighal,Haryana,28.75,76.6167
124108,Machhrauli,Haryana,28.4667,76.65
124109,Dhakala,Haryana,28.62,76.67
124110,Bahu Akbarpur,Haryana,28.8917,76.4167
124111,Madina,Haryana,28.95,76.4333
124112,Meham,Haryana,28.8917,76.4167
124113,Kalanaur,Haryana,28.8333,76.4
124114,Kharak Kalan,Haryana,28.8917,76.4167
124118,Gochhi,Haryana,28.8917,76.4167
124120,Bahlba,Haryana,28.7274,76.6286
124121,Kharkhera,Haryana,28.7274,76.6286
124124,Katesra,Haryana,28.7274,76.6286
124125,Jhalri,Haryana,28.7274,76.6286
124126,Kalinga,Haryana,28.7274,76.6286
124127,Sisar Khas,Haryana,28.7274,76.6286
124129,Saman,Haryana,28.7274,76.6286
124130,Talao,Haryana,28.7274,76.6286
124131,Jhazgarh,Haryana,28.7274,76.6286
124132,Ritauli,Haryana,28.7274,76.6286
124133,M P Majra,Haryana,28.7274,76.6286
124135,Daura Raja,Haryana,28.7274,76.6286
124136,Chimni,Haryana,28.7274,76.6286
124138,Jahangirpur,Haryana,28.7274,76.6286
124139,Mehrana,Haryana,28.7274,76.6286
124140,Silana,Haryana,28.9356,76.8458
124202,Dobaldhan,Haryana,28.9185,76.7051
124203,Majra (Rohtak),Haryana,28.9185,76.7051
124204,Sewana,Haryana,28.9185,76.7051
124205,Pilana,Haryana,28.9185,76.7051
124301,Gohana H O,Haryana,29.3834,76.8126
124303,Sanghi,Haryana,29.0167,76.6167
